Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
PLCL2	4.515151515151516	5.4796647160484944e-117	-0.19327126	1.0
ALG2	7.106060606060606	1.0	-0.02740175	1.0
GPSM3	5.212121212121212	1.5018480840879237e-37	0.20723227	0.034485500744856804
BRCA2	3.712121212121212	1.225750168053399e-236	0.656836	0.0
RANGAP1	4.2727272727272725	3.653471191512652e-151	0.46902072	0.0
RAD51AP1	4.803030303030303	3.987558958650078e-80	0.27678892	4.4960546952268975e-48
KRT9	4.454545454545454	2.6584028516486256e-125	-0.09312289	1.0
CTTNBP2	5.045454545454546	2.823448101503254e-53	-0.047222726	1.0
CDC37L1	4.2272727272727275	8.267787050295119e-158	0.14762957	1.0
PREPL	5.348484848484849	1.4665368120487567e-26	0.37355298	3.898135111454815e-189
PIGA	15.0	1.0	0.0036989234	1.0
MIP	5.409090909090909	2.9159368781695483e-22	0.03920286	1.0
